Comune,Cratere Centro Italia 2016,Variaz
Giuliano Teatino,0,17.624369343109148
Giulianova,0,12.331947210440132
Gradoli,0,8.347328605824442
Graffignano,0,-9.082792795630652
Greccio,0,-6.076853869794422
Grottammare,0,-4.023188028500402
Grottazzolina,0,2.1399578349498043
Grotte di Castro,0,-4.88525797851647
Gualdo,1,-12.430838368676582
Gualdo Cattaneo,0,-7.244435471374389
Gualdo Tadino,0,-3.489710218303007
Guardea,0,33.296221558198
Guardiagrele,0,-0.5355487087941935
Gubbio,0,-5.3065891029394265
Isola del Gran Sasso d'Italia,0,-0.4214419233580657
Isola del Piano,0,-10.725040358275479
Jesi,0,-6.004888682191661
L'Aquila,0,-3.1225569203779004
Labro,0,123.47283681257919
Lanciano,0,-5.910710628401451
Lapedona,0,-8.902781380381322
Latera,0,2.372686918740747
Leonessa,1,-12.974258382887896
Lettomanoppello,0,-2.234925394404962
Lisciano Niccone,0,-8.618826966416805
Longone Sabino,0,-22.151330102662495
Loreto,0,0.4948801306657962
Loreto Aprutino,0,0.5442990985113232
Loro Piceno,1,3.144349271677637
Lubriano,0,-4.506658811986783
Lucoli,0,-19.784825878402163
Lugnano in Teverina,0,29.65440744210567
Lunano,0,-2.631816712962677
Macerata,1,5.760771410715078
Magione,0,-1.2428889088556416
Magliano Romano,0,8.555876142395578
Magliano Sabina,0,3.5199826208859886
Magliano de' Marsi,0,12.235221587143865
Magliano di Tenna,0,-2.325379392432713
Maiolati Spontini,0,-6.029751648808903
Maltignano,1,4.378297923147448
Manoppello,0,-1.128597670573357
Manziana,0,-9.278855720063703
Marcetelli,0,-55.9317527242123
Marciano della Chiana,0,-7.024234108881499
Mare,0,-4.601000286519391
Marsciano,0,0.8307288167682463
Marta,0,-3.5754957763063726
Martinsicuro,0,-5.8078659027868245
Massa Fermana,1,-2.137484699429924
Massa Martana,0,-14.507420473226649
Massa d'Albe,0,-11.380604272634894
Massignano,0,-9.721701752081563
Matelica,1,2.3752829014626426
Mazzano Romano,0,-6.382061521437743
Mercatello sul Metauro,0,-3.1562194996562662
Mergo,0,-9.018100228271676
Micigliano,1,9.268160422545304
Miglianico,0,-4.7810545600418735
Mogliano,1,5.763844402067585
Molina Aterno,0,-11.84447366389237
Mompeo,0,-3.138320330576467
Mondavio,0,3.597819081682375
Mondolfo,0,-14.773137493139163
Monsampietro Morico,1,-3.3351433925568337
Monsampolo del Tronto,0,14.404923292303087
Monsano,0,-10.512578406831539
Montalto delle Marche,1,-8.882861013192613
Montappone,1,-3.160072923550339
Montasola,0,-20.46519515521163
Monte Castello di Vibio,0,-9.473203876822213
Monte Cavallo,1,-26.0638558695311
Monte Giberto,0,131.99344483483483
Monte Porzio,0,-2.9350588776878905
Monte Rinaldo,1,-6.571134677329142
Monte Roberto,0,-9.580076034785966
Monte Romano,0,16.94361025491885
Monte San Giovanni in Sabina,0,-8.083839020499948
Monte San Giusto,0,6.620556403246653
Monte San Martino,1,-30.67330617980899
Monte San Pietrangeli,0,-0.9988204519367555
Monte San Vito,0,6.218354470627283
Monte Santa Maria Tiberina,0,-8.75122229882858
Monte Urano,0,9.058057696416476
Monte Vidon Combatte,0,6.084170972220572
Monte Vidon Corrado,1,-4.3883329698601
Montebello di Bertona,0,15.030611449966887
Montebuono,0,-7.37378022869496
Montecarotto,0,-15.619121121275704
Montecassiano,0,-6.226557669980088
Montecastrilli,0,-3.082356055826814
Montecchio,0,-9.175522052277316
Montecosaro,0,7.239596065920637
Montedinove,1,-16.158517149836978
Montefalco,0,-11.565450281722189
Montefalcone Appennino,1,-26.828241117125856
Montefano,0,-7.252535296036945
Montefelcino,0,9.104389046834587
Montefiascone,0,-3.3429917067549506
Montefino,0,9.596913727327205
Montefiore dell'Aso,0,0.537003396996325
Montefortino,1,-19.807012290853525
Montefranco,1,-2.9139592556151404
Montegabbione,0,5.267875891991562
Montegallo,1,-27.834360786023847
Montegiorgio,1,-0.4799599863924165
Montegranaro,0,-4.986367288914824
Monteleone Sabino,0,-20.648399115858517
Monteleone d'Orvieto,0,-5.130383882904266
Monteleone di Fermo,1,-7.385353616834651
Monteleone di Spoleto,1,-15.895690851262625
