from,to,qty
399-1038,398-1038,0
399-1038,398-1039,0
399-1038,398-1040,0
399-1038,399-1035,0
399-1038,399-1036,0
399-1038,399-1037,0
399-1038,399-1038,681
399-1038,399-1039,0
399-1038,399-1040,0
399-1038,400-1035,0
399-1038,400-1036,0
399-1038,400-1037,0
399-1038,400-1038,0
399-1038,400-1039,0
399-1038,400-1040,0
399-1039,396-1035,0
399-1039,396-1036,0
399-1039,396-1037,0
399-1039,396-1038,0
399-1039,396-1039,0
399-1039,396-1040,0
399-1039,397-1035,0
399-1039,397-1036,0
399-1039,397-1037,0
399-1039,397-1038,0
399-1039,397-1039,0
399-1039,397-1040,0
399-1039,398-1035,0
399-1039,398-1036,0
399-1039,398-1037,0
399-1039,398-1038,0
399-1039,398-1039,0
399-1039,398-1040,0
399-1039,399-1035,0
399-1039,399-1036,0
399-1039,399-1037,0
399-1039,399-1038,200
399-1039,399-1039,892
399-1039,399-1040,0
399-1039,400-1035,0
399-1039,400-1036,0
399-1039,400-1037,0
399-1039,400-1038,0
399-1039,400-1039,0
399-1039,400-1040,0
399-1040,396-1035,0
399-1040,396-1036,0
399-1040,396-1037,0
399-1040,396-1038,0
399-1040,396-1039,0
399-1040,396-1040,0
399-1040,397-1035,0
399-1040,397-1036,0
399-1040,397-1037,0
399-1040,397-1038,0
399-1040,397-1039,0
399-1040,397-1040,0
399-1040,398-1035,0
399-1040,398-1036,0
399-1040,398-1037,0
399-1040,398-1038,0
399-1040,398-1039,931
399-1040,398-1040,0
399-1040,399-1035,0
399-1040,399-1036,0
399-1040,399-1037,0
399-1040,399-1038,0
399-1040,399-1039,13
399-1040,399-1040,0
399-1040,400-1035,0
399-1040,400-1036,0
399-1040,400-1037,0
399-1040,400-1038,0
399-1040,400-1039,0
399-1040,400-1040,0
400-1035,396-1035,0
400-1035,396-1036,0
400-1035,396-1037,0
400-1035,396-1038,0
400-1035,396-1039,0
400-1035,396-1040,0
400-1035,397-1035,0
400-1035,397-1036,0
400-1035,397-1037,0
400-1035,397-1038,0
400-1035,397-1039,0
400-1035,397-1040,0
400-1035,398-1035,0
400-1035,398-1036,0
400-1035,398-1037,0
400-1035,398-1038,0
400-1035,398-1039,0
400-1035,398-1040,0
400-1035,399-1035,0
400-1035,399-1036,0
400-1035,399-1037,0
400-1035,399-1038,0
400-1035,399-1039,0
400-1035,399-1040,0
400-1035,400-1035,0
400-1035,400-1036,0
400-1035,400-1037,0
400-1035,400-1038,394
400-1035,400-1039,0
400-1035,400-1040,0
400-1036,396-1035,0
400-1036,396-1036,0
400-1036,396-1037,0
400-1036,396-1038,0
400-1036,396-1039,0
400-1036,396-1040,0
400-1036,397-1035,0
400-1036,397-1036,0
400-1036,397-1037,0
400-1036,397-1038,0
400-1036,397-1039,0
400-1036,397-1040,0
400-1036,398-1035,0
400-1036,398-1036,0
400-1036,398-1037,0
400-1036,398-1038,0
400-1036,398-1039,0
400-1036,398-1040,523
400-1036,399-1035,0
400-1036,399-1036,0
400-1036,399-1037,0
400-1036,399-1038,0
400-1036,399-1039,0
400-1036,399-1040,0
400-1036,400-1035,0
400-1036,400-1036,0
400-1036,400-1037,0
400-1036,400-1038,0
400-1036,400-1039,0
400-1036,400-1040,0
400-1037,396-1035,0
400-1037,396-1036,0
400-1037,396-1037,0
400-1037,396-1038,0
400-1037,396-1039,0
400-1037,396-1040,0
400-1037,397-1035,0
400-1037,397-1036,0
400-1037,397-1037,0
400-1037,397-1038,0
400-1037,397-1039,0
400-1037,397-1040,0
400-1037,398-1035,0
400-1037,398-1036,0
400-1037,398-1037,0
400-1037,398-1038,0
400-1037,398-1039,0
400-1037,398-1040,371
400-1037,399-1035,0
400-1037,399-1036,0
400-1037,399-1037,0
400-1037,399-1038,0
400-1037,399-1039,188
400-1037,399-1040,5
400-1037,400-1035,0
400-1037,400-1036,0
400-1037,400-1037,0
400-1037,400-1038,379
400-1037,400-1039,0
400-1037,400-1040,0
400-1038,396-1035,0
400-1038,396-1036,0
400-1038,396-1037,0
400-1038,396-1038,0
400-1038,396-1039,0
400-1038,396-1040,0
400-1038,397-1035,0
400-1038,397-1036,0
400-1038,397-1037,0
400-1038,397-1038,0
400-1038,397-1039,0
400-1038,397-1040,0
400-1038,398-1035,0
400-1038,398-1036,0
400-1038,398-1037,0
400-1038,398-1038,0
400-1038,398-1039,0
400-1038,398-1040,0
400-1038,399-1035,0
400-1038,399-1036,0
400-1038,399-1037,0
400-1038,399-1038,0
400-1038,399-1039,0
400-1038,399-1040,5
400-1038,400-1035,0
400-1038,400-1036,0
400-1038,400-1037,0
400-1038,400-1038,0
400-1038,400-1039,914
400-1038,400-1040,0
400-1039,396-1035,0
400-1039,396-1036,0
400-1039,396-1037,0
400-1039,396-1038,0
400-1039,396-1039,0
400-1039,396-1040,0
400-1039,397-1035,0
400-1039,397-1036,0
400-1039,397-1037,0
400-1039,397-1038,0
400-1039,397-1039,0
400-1039,397-1040,0
400-1039,398-1035,0
400-1039,398-1036,0
400-1039,398-1037,0
400-1039,398-1038,0
400-1039,398-1039,0
400-1039,398-1040,0
400-1039,399-1035,0
400-1039,399-1036,0
400-1039,399-1037,0
400-1039,399-1038,0
400-1039,399-1039,0
400-1039,399-1040,920
400-1039,400-1035,0
400-1039,400-1036,0
400-1039,400-1037,0
400-1039,400-1038,0
400-1039,400-1039,0
400-1039,400-1040,0
400-1040,396-1035,0
400-1040,396-1036,0
400-1040,396-1037,0
400-1040,396-1038,0
400-1040,396-1039,0
400-1040,396-1040,0
400-1040,397-1035,0
400-1040,397-1036,0
400-1040,397-1037,0
400-1040,397-1038,0
400-1040,397-1039,0
400-1040,397-1040,0
400-1040,398-1035,0
400-1040,398-1036,0
400-1040,398-1037,0
400-1040,398-1038,0
400-1040,398-1039,0
400-1040,398-1040,0
400-1040,399-1035,0
400-1040,399-1036,0
400-1040,399-1037,0
400-1040,399-1038,0
400-1040,399-1039,0
400-1040,399-1040,0
400-1040,400-1035,0
400-1040,400-1036,0
400-1040,400-1037,0
400-1040,400-1038,0
400-1040,400-1039,0
400-1040,400-1040,960
