"SP_ID","assoc_comuni"
"2137 1","Corinaldo"
"2138 1","Corinaldo"
"2139 1","Serra de' Conti"
"2140 1","Barbara"
"2141 1","Barbara"
"2142 1","Mergo"
"2143 1","Mergo"
"2144 1","Mergo"
"2154 1","Fabriano"
"2160 1","Arcevia"
"2161 1","Corinaldo"
"2165 1","Serra de' Conti"
"2179 1","Castelleone di Suasa"
"2181 1","Barbara"
"2187 1","Serra de' Conti"
"2188 1","Corinaldo"
"2196 1","Montecarotto"
"2198 1","Corinaldo"
"2199 1","Serra San Quirico"
"2201 1","Poggio San Marcello"
"2202 1","Jesi"
"2203 1","Castelbellino"
"2204 1","Cupramontana"
"2205 1","Castelplanio"
"2206 1","Rosora"
"2207 1","Monte Roberto"
"2208 1","Apiro"
"2209 1","Maiolati Spontini"
"2210 1","Apiro"
"2211 1","Apiro"
"2212 1","Cingoli"
"2213 1","Cupramontana"
"2214 1","Monte Roberto"
"2215 1","Staffolo"
"2216 1","Cingoli"
"2217 1","Cupramontana"
"2218 1","Jesi"
"2219 1","Serra San Quirico"
"2220 1","Maiolati Spontini"
"2221 1","Maiolati Spontini"
"2222 1","Apiro"
"2223 1","Cingoli"
"2224 1","Apiro"
"2225 1","Cingoli"
"2226 1","San Paolo di Jesi"
"2227 1","Cupramontana"
"2228 1","Castelbellino"
"2229 1","Apiro"
"2230 1","Apiro"
"2231 1","Serra San Quirico"
"2232 1","Cupramontana"
"2233 1","Cingoli"
"2234 1","Cingoli"
"2235 1","Castelplanio"
"2236 1","Jesi"
"2237 1","Maiolati Spontini"
"2238 1","Maiolati Spontini"
"2239 1","Maiolati Spontini"
"2244 1","Fabriano"
"2245 1","Fabriano"
"2246 1","Serra San Quirico"
"2254 1","Arcevia"
"2280 1","Serra de' Conti"
"2284 1","Serra San Quirico"
"2304 1","Serra de' Conti"
"2305 1","Serra de' Conti"
"2324 1","Castelleone di Suasa"
"2325 1","Serra de' Conti"
"2344 1","Corinaldo"
"2345 1","Serra San Quirico"
"2347 1","Fabriano"
"2349 1","Montecarotto"
"2374 1","Fabriano"
"2378 1","Corinaldo"
"2382 1","Ostra Vetere"
"2389 1","Fabriano"
"2390 1","Rosora"
"2396 1","Serra de' Conti"
"2398 1","Corinaldo"
"2402 1","Ostra Vetere"
"2403 1","Cupramontana"
"2409 1","Mergo"
"2424 1","Corinaldo"
"2425 1","Mergo"
"2428 1","Mondavio"
"2433 1","Fabriano"
"2434 1","Rosora"
"2448 1","Ostra Vetere"
"2449 1","Ostra Vetere"
"2451 1","Rosora"
"2455 1","Arcevia"
"2462 1","Barbara"
"2471 1","Serra de' Conti"
"2479 1","Montecarotto"
