COMUNE,2015-04,2015-05,2015-09,2016-04,2016-05,2016-08,2016-09,2016-10,2017-04,2017-05,2017-09,2017-10,2018-04
Carassai,0,7.851276484945058,7.8497968206563185,37.350276067316706,12.156315290840299,21.184511796305898,5.714160230388426,2.266301926805232,3.4791665359542576,-3.254236650081879,-5.9789312536468815,-9.400249712955597,-9.062431375993688
Castelbellino,0,-18.053491310491466,-12.478671854771571,4.221535539369296,5.607633969970142,-3.4167940597436512,3.8475608765741924,1.4330451138771392,4.990006117756348,5.812409944847411,-12.648751325449425,1.1649259978349324,4.720082353817709
Castelfidardo,0,-3.4579668362416243,-5.9668119996171765,8.483093658048698,9.499672617637817,6.718584694499993,7.810423425663089,7.116915669738128,9.985784425082352,12.3956666815346,17.728535766969678,18.12176918097014,15.17808011902941
Castelleone di Suasa,0,14.711242568193367,4.928769183273086,44.826580519952614,48.80543355939968,49.21497134235606,46.29330863533608,32.892653341698775,29.731210102277615,22.32529652535031,30.581199645464206,34.949159969326665,37.69170824494835
Castelplanio,0,-0.3249089253187542,1.0117979659987697,19.1403569936833,21.146152094717642,5.855600193703029,6.777686703096525,12.64924863387978,9.589503642987243,9.113433515482686,49.3860883424408,6.996516393442613,14.054663782635076
Castelraimondo,0,15.263567286530694,-3.542174824799016,25.698917162696816,29.111370060423923,19.013805899945854,27.967143597092935,32.687541116839455,34.61656734851115,38.18247476489787,41.934423112680996,39.72455180278342,30.30604779508113
Cerreto d'Esi,0,6.627564279388485,-6.244706901474557,19.309972390541304,18.54459753093588,8.25820158371019,14.692189685293519,25.267256106118452,20.207416871131482,24.655313424023753,22.610665079342034,18.78511592793158,19.41992479565614
Cessapalombo,0,-2.450024797165683,-13.388319292410996,-0.7437976516968439,5.107243689688594,10.501056723818305,5.376544150299967,11.866270344210568,-0.10165217193999762,-5.169868688473053,-9.306295238620036,-10.419153136274204,-8.156301019222942
Chiaravalle,0,12.27298909540799,1.2520749513475478,3.6746320391746523,5.63525947589824,-4.300803790907949,5.7803265600081435,7.143973337689749,1.162809085466607,1.7947825905055448,-0.18840479375708688,-6.25112064182394,-6.685502165412027
Cingoli,0,-1.2548112254342956,-12.748285203937776,-3.2138307487763083,-2.4339829747288566,-9.199098590251973,-7.422224106023648,-9.231674957817043,-1.726163280291183,-1.543955355567866,-5.535301227123492,-6.618295216480975,-3.898885676037793
Civitanova Marche,0,2.976745835219705,-10.418026888258877,10.57814153662256,10.209353030558677,28.1476535975846,16.298866648256386,15.768684500632707,21.25068157864209,21.878984088990624,23.09004667152435,16.101557627691992,18.440580242965414
Colmurano,0,-5.505383657373724,-5.675323758883626,1.3101782766601782,2.9498073324039584,3.8725042161308765,3.3424618662294794,8.299908339320174,18.034858083593626,21.029257098072446,5.572608996259237,15.376135342511393,22.995007082870725
Corinaldo,0,1.5295536497109004,-3.201518355882481,9.545553177213861,14.200981591675943,11.073352718499818,11.56367731148664,4.047958349827969,6.473958460961986,4.24308711398909,0.761774135895709,-0.6591765108271291,-0.06326259143869176
Corridonia,0,0.34209423711113063,-4.807619592771449,16.63874532749838,18.063047045583733,6.836000946380081,20.477409094022082,21.894653229884824,30.084530664160102,31.77765609163582,29.485838833384143,26.665783428640278,28.8771118834293
Cossignano,0,29.43491122210752,19.077721355880563,18.761341974262763,23.787487270434838,28.829232172980056,14.785000242467925,4.763455236960429,14.67277223950286,6.3325689821197155,0.5008694206402678,-0.6248744362621304,-1.3879555798793228
Cupra Marittima,0,3.0450583080603533,-2.2687142853859936,10.04134963326747,14.544205638461833,119.83838550979917,18.489674895037993,9.959422202751734,25.497625623833926,15.807306698454521,19.683882382360746,7.642376394244825,20.153746366779316
Cupramontana,0,0.9867732469318723,-9.107089792168797,4.942598119684304,7.152042001084336,10.14799398722024,8.826264893044822,7.786379205059951,11.097986494574522,10.151367206545647,-9.823764642759784,-7.792966794647952,-0.7618724327722981
Fabriano,0,3.6621898188437743,-23.76756750418863,17.08394592468727,18.036209602928242,20.058820437858063,21.427414218741113,19.62295446251277,22.394228001646503,23.10950447115437,16.317692607671148,14.846282189216831,14.02784453007534
Falconara Marittima,0,5.689240630119679,-3.314374074328245,12.119514539424518,10.592117244239727,12.8004637025273,8.27767850551233,6.5832377701090445,3.322089175516484,3.5660140468334283,5.398020311832514,0.8245213312425528,2.213170831816442
Falerone,0,-3.658698761637011,-14.680823993647756,-9.459098148423454,-9.889451898568034,-12.185941853060129,-10.12819162901621,-11.258115817571205,-9.14301205544192,-11.488650846178249,-14.68969817636829,-8.264356860771683,-18.54569152873652
Fermo,0,1.2671041661563227,-3.068348806872058,8.069742518148413,9.049709886987296,37.25005024723275,10.009663394571424,4.046504241672701,9.412340594112912,10.19558448754867,11.34076643220545,4.369803496898664,3.1954699951880374
Fiastra,0,2.7844046972560506,-12.204333917775896,24.064770809499493,12.431909894910218,95.75661530933623,12.73529146266506,15.504890069555197,-11.474911079875017,-17.298624036589192,-9.776556991746316,-11.636058656953859,-6.109761050398175
Filottrano,0,-3.6531526277357083,-11.590232808273905,-0.3857909187010734,-0.29691380836954595,-9.51707050253543,-2.6860228067239724,35.91471252146538,11.372409465541478,11.423814416258217,35.506634365853074,12.82237375370958,14.812071002441455
Fiordimonte,0,5.291422534578081,-11.71874609763286,22.4656823632316,17.44957517270313,59.108366873181865,13.370633719449126,15.212488573869,-28.554837936253435,-29.264007312723862,-37.095027947192555,-34.770840513688874,-33.17926787846094
Francavilla d'Ete,0,7.081467655009291,0.8123535663173608,8.098606373904223,15.359476622545335,11.811552239332077,20.37934734389319,20.38479663402723,29.320788197605086,29.227843263065644,27.549154899525835,21.805833349962658,26.746989970747805
Gagliole,0,6.0768194017201385,-16.573794422384758,1.241233904177463,2.4882878711783527,-6.864928646294574,-0.7756097369577579,2.2983826668340632,0.8449114037290314,3.5612620848766263,6.157009228451246,9.042077343210494,6.600436082250387
Grottammare,0,17.06617572341402,0.44738299750346194,27.222402095008093,35.67571444795785,120.89601270293254,25.533512256645384,15.997776409618814,46.32109362391435,37.44125716540045,73.62618576543511,21.894415321255025,45.06304655791798
Grottazzolina,0,19.215868608422042,1.8241889080386555,13.71734218556388,14.365634066594502,5.7320155383676195,15.14075926022937,15.505887704294782,5.42473756596442,1.50209586069549,40.407048911658926,5.4621549345863505,8.399960652112092
Gualdo,0,0.30439168511187603,-11.263780167915337,8.390920136012756,11.939661938445074,32.20068659671932,12.775993760061708,20.606702579572,9.94240712190145,9.599320031686414,-0.8283006998027654,-1.9443224227704263,5.793354165576578
Jesi,0,1.8883928439901894,-1.5119704142183619,10.923734085185215,11.017874030893287,-1.3415901522886637,12.738056423086572,11.360438111082086,7.878763401524747,10.110614707680178,7.76134507753907,1.6339955360869467,5.208260116769566
Lapedona,0,-8.580981389193186,-26.38275001741398,11.549588127864839,12.716725029920417,43.284637518591445,7.677907661522676,1.606440643621113,21.00103534090264,16.36930958276077,13.314341529518305,9.48524243441259,12.443661782306119
Loreto,0,9.281121899657908,-2.6771508634754024,10.76544097618035,9.386067193843987,26.531630084200074,13.629077829060709,12.751070606440424,12.019887249805155,11.686332962430448,21.827537526747463,10.662585537786208,13.499684466876294
